,Month,Hours watched (mins),Average viewers,Peak viewers,Average channels,Peak channels,Hours streamed (mins),Games streamed,Active affiliates,Active partners,Year
1,Apr-21,1.34281E+11,3112681,6291115,115812,201427,4996162380,36196,1031363,33139,2021
2,May-21,1.38498E+11,3106723,5835026,110484,184526,4925397840,36960,1023396,33573,2021
3,Feb-22,1.19009E+11,2956001,5455266,103548,145473,4168873980,40713,1034208,35300,2021
4,Feb-21,1.18775E+11,2950196,5274617,122763,200990,4942468860,34594,946137,30493,2021
5,Mar-21,1.30899E+11,2936277,5270336,117123,199194,5221385160,35759,1002514,31941,2021
6,Jan-21,1.30428E+11,2925698,6516666,119448,199531,5324994120,34551,921703,29851,2021
7,Jan-22,1.29747E+11,2910426,5674002,102254,142590,4558511940,41348,1060139,34922,2021
8,Jun-21,1.17818E+11,2731057,5775498,101892,155807,4395651720,36099,989125,33406,2021
9,Oct-21,1.21212E+11,2718974,6170643,91858,141453,4095032760,36406,961760,34303,2021
10,Aug-21,1.18475E+11,2657585,4778502,100701,191286,4489258920,36471,995101,33593,2021
11,Jul-21,1.17234E+11,2629745,4415373,101755,146214,4536243660,36319,994922,33604,2021
12,Mar-22,1.16073E+11,2603701,4815581,97461,144086,4344850800,41071,1015804,35453,2022
13,Apr-22,1.12188E+11,2600548,5033040,94164,140048,4062253740,42107,998125,35438,2022
14,Sep-21,1.11451E+11,2583469,5630216,95513,207789,4120457520,35861,980194,34054,2022
15,Jul-22,1.13838E+11,2553561,4500502,94546,133741,4214904240,43566,1015585,35441,2022
16,Jun-22,1.1009E+11,2551932,6707070,90773,143573,3915966660,42096,987627,35329,2022
17,May-22,1.13645E+11,2549226,5235525,88227,131999,3933191820,42653,983471,35335,2022
18,Dec-20,1.12639E+11,2526674,4860624,107006,234592,4770330540,32840,926432,30467,2020
19,Nov-21,1.08727E+11,2520330,5969595,90774,144557,3915996360,35043,949967,34217,2020
20,Dec-21,1.12344E+11,2520054,5014457,90731,211862,4044808680,35577,964734,34188,2020
21,Apr-20,1.07539E+11,2492780,4455065,93867,163527,4049443920,24646,526962,24120,2020
22,Nov-20,1.07354E+11,2488505,4380326,103929,185349,4483535280,32479,792370,28936,2020
23,Oct-20,1.06449E+11,2387813,4208725,95170,159332,4242691740,31922,749312,28021,2020
24,May-20,1.05346E+11,2363069,4043730,100486,157531,4479707340,25396,584589,24935,2020
25,Jun-20,97756975620,2266040,6060464,94052,201269,4057423200,24780,606251,25353,2020
26,Sep-20,95130670860,2205161,4816995,91978,143560,3967939800,29190,701911,27250,2020
27,Aug-20,97240940700,2181268,3861619,96421,145226,4298487660,25714,671735,26591,2020
28,Jul-20,94355748900,2116548,3965956,95781,140066,4269921900,25485,629933,25770,2020
29,Mar-20,73102205160,1639798,3402641,66090,132155,2946308340,22872,467421,22860,2020
30,Feb-20,58905128940,1412593,2630587,53882,84232,2246905740,20748,410175,21062,2020
31,Jan-20,60600613860,1359367,2400513,52875,87265,2357211840,21249,408057,20644,2020
32,Aug-19,59950643880,1344787,2563475,48508,71411,2162494680,20421,369125,20069,2019
33,Feb-19,52890411060,1313721,2624711,56375,126102,2269667280,19573,362577,20348,2019
34,Jun-19,56347603200,1306156,3496976,47953,71693,2068700100,20209,346668,19803,2019
35,Jan-19,56943028440,1277322,2278352,55853,113142,2489969580,19995,362808,20406,2019
36,Mar-19,56864014800,1275549,2630058,55019,91558,2452776240,20457,361341,20409,2019
37,May-19,56371216320,1264495,2607531,48357,108748,2155778460,20751,358193,19947,2019
38,Apr-19,53299571940,1235502,2368981,51328,85936,2214296340,20536,344654,19758,2019
39,Jul-19,55001548680,1233771,2933491,48111,94810,2144822880,20106,358173,19689,2019
40,Nov-19,52749455400,1222750,2906707,45655,76073,1969557540,20248,375245,20572,2019
41,Sep-19,52684999860,1221256,2817054,46242,74389,1994881860,19869,371133,20320,2019
42,Oct-19,54020052600,1211755,2993052,45185,84281,2014388400,19904,380022,20620,2019
43,Nov-18,51937841580,1203936,2515155,45464,82002,1961335200,18789,333561,20582,2019
44,Dec-19,52889860200,1186403,2692333,45688,89991,2036781420,20515,383684,20457,2019
45,Aug-18,51351638460,1151898,3929074,44383,69200,1978602780,19233,288819,20729,2018
46,Oct-18,51163485660,1147678,2093870,43558,72456,1941844860,18524,318773,20668,2018
47,Dec-18,50758191720,1138586,2021262,48190,75253,2148340140,19156,346293,20444,2018
48,Sep-18,48903660780,1133603,2431863,44246,70866,1908812400,18526,300914,20732,2018
49,Jun-18,47343901740,1097447,2847241,39761,59638,1715299020,18833,259664,20495,2018
50,Jul-18,47774579940,1071659,1974783,41629,62829,1855839240,19290,271412,20455,2018
51,May-18,45730642680,1025810,1714327,38746,60843,1727301360,19011,251830,20615,2018
52,Apr-18,43759568100,1014361,2009005,39491,63502,1703669100,19132,239338,20697,2018
53,Mar-18,43280496780,970850,2399946,38981,64646,1737795420,19274,230653,20756,2018
54,Jan-18,43213201800,969340,2315343,33580,54637,1497038760,18309,202365,20100,2018
55,Feb-18,36942626460,917601,1735587,35548,57274,1431165900,18667,208213,20067,2018
56,Jan-17,36075072000,809220,2284184,24081,40243,1073553420,14841,115447,16737,2017
57,Nov-17,34533090180,800488,1532756,26768,44464,1154798220,16532,170527,19607,2017
58,Oct-17,35110652040,787587,1835725,25723,41037,1146762420,15847,163889,19373,2017
59,Dec-17,34388250420,771382,1496306,28181,45090,1256321760,16871,182548,19768,2017
60,Jul-17,34013953800,762986,1802287,25810,43137,1150616220,15962,146063,18429,2017
61,Feb-17,30055938480,746545,1524883,24219,40385,975077940,14737,113802,16721,2017
62,Apr-17,32125878060,744688,1823848,22078,36939,952487100,15007,116995,17329,2017
63,Sep-17,31655479080,733784,1519456,25038,39335,1080160800,15804,154847,19156,2017
64,Aug-17,32007021960,717968,1824303,24711,36454,1101643800,15898,150439,18664,2017
65,Jun-17,30649939800,710476,1935516,23412,36399,1010032080,15393,136058,18119,2017
66,Mar-17,30983998620,695020,1500730,23094,39747,1029558480,14794,113841,17170,2017
67,May-17,30415651320,682271,1514023,22362,36115,996909120,15276,132051,17906,2017
68,Mar-16,29440158480,660389,1591551,20271,35019,903725040,12234,77899,13871,2016
69,Dec-16,29429071380,660140,1385864,22291,36915,993774720,14033,106404,16145,2016
70,Jan-16,28814514240,646355,1275257,20076,35788,895013760,12149,74399,13360,2016
71,Feb-16,26511593820,635769,1308032,20427,34954,851812440,12134,74572,13514,2016
72,Nov-16,26981305680,625435,1410023,20715,38234,893646480,13968,96632,15880,2016
73,Jun-16,26785760700,620903,1755888,18818,30935,811816740,12374,82394,14213,2016
74,Oct-16,27182100060,609737,1549150,19250,32931,858202320,13973,95532,15685,2016
75,May-16,26990197860,605432,1438962,19394,32880,864607020,12424,84012,14409,2016
76,Jul-16,26779909500,600715,1453743,18030,27522,803789160,12961,83858,14300,2016
77,Apr-16,22678526820,525696,1775120,16791,33973,724370340,12282,78753,14019,2016
78,Aug-16,22927042380,514289,1334490,16592,29061,739696440,13693,87572,14514,2016
79,Sep-16,21769992600,504635,1186009,16880,30957,728235960,13484,90028,14848,2016
